NumPolys = 505

QuadrangleId = 0
19052 564.7 663.5 31.8
19038 564.7 573.5 31.8
19066 580 573.5 31.8

QuadrangleId = 312
n_id   x   y   z
19052 564.7 663.5 31.8
19013 543 663.5 31.8
18992 543 573.5 31.8
19038 564.7 573.5 31.8

QuadrangleId = 313
n_id   x   y   z
38124 580 663.5 24
38103 564.7 663.5 24
38089 564.7 573.5 24
38117 580 573.5 24

QuadrangleId = 314
n_id   x   y   z
38103 564.7 663.5 24
38064 543 663.5 24
38043 543 573.5 24
38089 564.7 573.5 24

QuadrangleId = 323
n_id   x   y   z
22702 580 913.5 31.8
22681 564.7 913.5 31.8
22667 564.7 823.5 31.8
22695 580 823.5 31.8

QuadrangleId = 324
n_id   x   y   z
22681 564.7 913.5 31.8
22642 543 913.5 31.8
22621 543 823.5 31.8
22667 564.7 823.5 31.8

QuadrangleId = 325
n_id   x   y   z
41604 580 913.5 24
41583 564.7 913.5 24
41569 564.7 823.5 24
41597 580 823.5 24

QuadrangleId = 326
n_id   x   y   z
41583 564.7 913.5 24
41544 543 913.5 24
41523 543 823.5 24
41569 564.7 823.5 24

QuadrangleId = 331
n_id   x   y   z
4124 471.5 -6.50004 31.8
4022 400 -6.50003 31.8
206 400 -29 31.8
266 471.5 -29 31.8

QuadrangleId = 332
n_id   x   y   z
266 471.5 -29 31.8
206 400 -29 31.8
4016 400 -63.1667 31.8
4115 471.5 -63.1668 31.8

QuadrangleId = 333
n_id   x   y   z
4115 471.5 -63.1668 31.8
4016 400 -63.1667 31.8
4012 400 -86.5 31.8
4109 471.5 -86.5 31.8

QuadrangleId = 334
n_id   x   y   z
8331 471.5 -6.50004 24
8201 400 -6.50003 24
7738 400 -29 24
7787 471.5 -29 24

QuadrangleId = 335
n_id   x   y   z
7787 471.5 -29 24
7738 400 -29 24
8195 400 -63.1667 24
8294 471.5 -63.1668 24

QuadrangleId = 336
n_id   x   y   z
8294 471.5 -63.1668 24
8195 400 -63.1667 24
8191 400 -86.5 24
8288 471.5 -86.5 24

QuadrangleId = 337
n_id   x   y   z
4022 400 -6.50003 31.8
3920 328.5 -6.50003 31.8
159 328.5 -29 31.8
206 400 -29 31.8

QuadrangleId = 338
n_id   x   y   z
206 400 -29 31.8
159 328.5 -29 31.8
3914 328.5 -63.1667 31.8
4016 400 -63.1667 31.8

QuadrangleId = 339
n_id   x   y   z
4016 400 -63.1667 31.8
3914 328.5 -63.1667 31.8
3910 328.5 -86.5 31.8
4012 400 -86.5 31.8

QuadrangleId = 340
n_id   x   y   z
8201 400 -6.50003 24
8099 328.5 -6.50003 24
7690 328.5 -29 24
7738 400 -29 24

QuadrangleId = 341
n_id   x   y   z
7738 400 -29 24
7690 328.5 -29 24
8084 328.5 -63.1667 24
8195 400 -63.1667 24

QuadrangleId = 342
n_id   x   y   z
8195 400 -63.1667 24
8084 328.5 -63.1667 24
8071 328.5 -86.5 24
8191 400 -86.5 24

QuadrangleId = 343
n_id   x   y   z
4269 580 -176.5 31.8
4241 564.7 -176.5 31.8
4239 564.7 -199.833 31.8
372 580 -200.606 31.8

QuadrangleId = 344
n_id   x   y   z
4241 564.7 -176.5 31.8
4193 543 -176.5 31.8
4191 543 -199.833 31.8
4239 564.7 -199.833 31.8

QuadrangleId = 345
n_id   x   y   z
372 580 -200.606 31.8
4239 564.7 -199.833 31.8
343 564.7 -234 31.8
370 580 -234 31.8

QuadrangleId = 346
n_id   x   y   z
4239 564.7 -199.833 31.8
4191 543 -199.833 31.8
306 543 -234 31.8
343 564.7 -234 31.8

QuadrangleId = 347
n_id   x   y   z
370 580 -234 31.8
343 564.7 -234 31.8
4233 564.7 -256.5 31.8
369 580 -256.5 31.8

QuadrangleId = 348
n_id   x   y   z
343 564.7 -234 31.8
306 543 -234 31.8
4182 543 -256.5 31.8
4233 564.7 -256.5 31.8

QuadrangleId = 349
n_id   x   y   z
8484 580 -176.5 24
8456 564.7 -176.5 24
8454 564.7 -199.833 24
7850 580 -200.606 24

QuadrangleId = 350
n_id   x   y   z
8456 564.7 -176.5 24
8408 543 -176.5 24
8406 543 -199.833 24
8454 564.7 -199.833 24

QuadrangleId = 351
n_id   x   y   z
7850 580 -200.606 24
8454 564.7 -199.833 24
7834 564.7 -234 24
7848 580 -234 24

QuadrangleId = 352
n_id   x   y   z
8454 564.7 -199.833 24
8406 543 -199.833 24
7814 543 -234 24
7834 564.7 -234 24

QuadrangleId = 353
n_id   x   y   z
7848 580 -234 24
7834 564.7 -234 24
8448 564.7 -256.5 24
7847 580 -256.5 24

QuadrangleId = 354
n_id   x   y   z
7834 564.7 -234 24
7814 543 -234 24
8397 543 -256.5 24
8448 564.7 -256.5 24

QuadrangleId = 355
n_id   x   y   z
3920 328.5 -6.50003 31.8
3886 307.57 -6.50003 31.8
140 307.57 -29 31.8
159 328.5 -29 31.8

QuadrangleId = 356
n_id   x   y   z
159 328.5 -29 31.8
140 307.57 -29 31.8
3883 307.57 -63.1667 31.8
3914 328.5 -63.1667 31.8

QuadrangleId = 357
n_id   x   y   z
3914 328.5 -63.1667 31.8
3883 307.57 -63.1667 31.8
3881 307.57 -86.5 31.8
3910 328.5 -86.5 31.8

QuadrangleId = 358
n_id   x   y   z
3886 307.57 -6.50003 31.8
142 293 -6.50003 31.8
139 293 -29 31.8
140 307.57 -29 31.8

QuadrangleId = 359
n_id   x   y   z
140 307.57 -29 31.8
139 293 -29 31.8
135 293 -63.1667 31.8
3883 307.57 -63.1667 31.8

QuadrangleId = 360
n_id   x   y   z
3883 307.57 -63.1667 31.8
135 293 -63.1667 31.8
133 293 -86.5 31.8
3881 307.57 -86.5 31.8

QuadrangleId = 361
n_id   x   y   z
8099 328.5 -6.50003 24
7993 307.57 -6.50003 24
7671 307.57 -29 24
7690 328.5 -29 24

QuadrangleId = 362
n_id   x   y   z
7690 328.5 -29 24
7671 307.57 -29 24
7990 307.57 -63.1667 24
8084 328.5 -63.1667 24

QuadrangleId = 363
n_id   x   y   z
8084 328.5 -63.1667 24
7990 307.57 -63.1667 24
7988 307.57 -86.5 24
8071 328.5 -86.5 24

QuadrangleId = 364
n_id   x   y   z
7993 307.57 -6.50003 24
7673 293 -6.50003 24
7670 293 -29 24
7671 307.57 -29 24

QuadrangleId = 365
n_id   x   y   z
7671 307.57 -29 24
7670 293 -29 24
7666 293 -63.1667 24
7990 307.57 -63.1667 24

QuadrangleId = 366
n_id   x   y   z
7990 307.57 -63.1667 24
7666 293 -63.1667 24
7664 293 -86.5 24
7988 307.57 -86.5 24

QuadrangleId = 367
n_id   x   y   z
11734 543 73.5 31.8
11632 471.5 73.5 31.8
